FLIGHT LOG
t, z, x, theta, rpm1, rpm2, v_z, v_x, omega, pred_theta, del_rpm
186.000, -3699.917, 0.000, 0.000, 34.604, 34.604, -15.00, 0.00, 0.00, 0.000, 0.000
187.000, -3719.788, 0.000, 0.000, 34.976, 34.976, -15.00, 0.00, 0.00, 0.000, 0.000
188.000, -3739.659, 0.000, 0.000, 35.350, 35.350, -15.00, 0.00, 0.00, 0.000, 0.000
189.000, -3759.528, 0.000, 0.000, 35.726, 35.726, -15.00, 0.00, 0.00, 0.000, 0.000
190.000, -3779.398, 0.000, 0.000, 36.104, 36.104, -15.00, 0.00, 0.00, 0.000, 0.000
191.000, -3799.267, 0.000, 0.000, 36.484, 36.484, -15.00, 0.00, 0.00, 0.000, 0.000
192.000, -3819.136, 0.000, 0.000, 36.866, 36.866, -15.00, 0.00, 0.00, 0.000, 0.000
193.000, -3839.005, 0.000, 0.000, 37.250, 37.250, -15.00, 0.00, 0.00, 0.000, 0.000
194.000, -3858.873, 0.000, 0.000, 37.636, 37.636, -15.00, 0.00, 0.00, 0.000, 0.000
195.000, -3878.740, 0.000, 0.000, 38.023, 38.023, -15.00, 0.00, 0.00, 0.000, 0.000
196.000, -3898.608, 0.000, 0.000, 38.413, 38.413, -15.00, 0.00, 0.00, 0.000, 0.000
197.000, -3918.475, 0.000, 0.000, 38.805, 38.805, -15.00, 0.00, 0.00, 0.000, 0.000
198.000, -3938.341, 0.000, 0.000, 39.199, 39.199, -15.00, 0.00, 0.00, 0.000, 0.000
199.000, -3958.207, 0.000, 0.000, 39.595, 39.595, -15.00, 0.00, 0.00, 0.000, 0.000
200.000, -3978.073, 0.000, 0.000, 39.993, 39.993, -15.00, 0.00, 0.00, 0.000, 0.000
201.000, -3997.938, 0.000, 0.000, 40.392, 40.392, -15.00, 0.00, 0.00, 0.000, 0.000
202.000, -4017.803, 0.000, 0.000, 40.794, 40.794, -15.00, 0.00, 0.00, 0.000, 0.000
203.000, -4037.668, 0.000, 0.000, 41.198, 41.198, -15.00, 0.00, 0.00, 0.000, 0.000
204.000, -4057.532, 0.000, 0.000, 41.604, 41.604, -15.00, 0.00, 0.00, 0.000, 0.000
205.000, -4077.396, 0.000, 0.000, 42.012, 42.012, -15.00, 0.00, 0.00, 0.000, 0.000
206.000, -4097.259, 0.000, 0.000, 42.421, 42.421, -15.00, 0.00, 0.00, 0.000, 0.000
207.000, -4117.122, 0.000, 0.000, 42.833, 42.833, -15.00, 0.00, 0.00, 0.000, 0.000
208.000, -4136.985, 0.000, 0.000, 43.247, 43.247, -15.00, 0.00, 0.00, 0.000, 0.000
209.000, -4156.847, 0.000, 0.000, 43.662, 43.662, -15.00, 0.00, 0.00, 0.000, 0.000
210.000, -4176.709, 0.000, 0.000, 44.080, 44.080, -15.00, 0.00, 0.00, 0.000, 0.000
211.000, -4196.570, 0.000, 0.000, 44.500, 44.500, -15.00, 0.00, 0.00, 0.000, 0.000
212.000, -4216.431, 0.000, 0.000, 44.921, 44.921, -15.00, 0.00, 0.00, 0.000, 0.000
213.000, -4236.292, 0.000, 0.000, 45.345, 45.345, -15.00, 0.00, 0.00, 0.000, 0.000
214.000, -4256.152, 0.000, 0.000, 45.771, 45.771, -15.00, 0.00, 0.00, 0.000, 0.000
215.000, -4276.011, 0.000, 0.000, 46.198, 46.198, -15.00, 0.00, 0.00, 0.000, 0.000
216.000, -4295.871, 0.000, 0.000, 46.628, 46.628, -15.00, 0.00, 0.00, 0.000, 0.000
217.000, -4315.729, 0.000, 0.000, 47.059, 47.059, -15.00, 0.00, 0.00, 0.000, 0.000
218.000, -4335.588, 0.000, 0.000, 47.493, 47.493, -15.00, 0.00, 0.00, 0.000, 0.000
219.000, -4355.446, 0.000, 0.000, 47.929, 47.929, -15.00, 0.00, 0.00, 0.000, 0.000
220.000, -4375.303, 0.000, 0.000, 48.366, 48.366, -15.00, 0.00, 0.00, 0.000, 0.000
221.000, -4395.161, 0.000, 0.000, 48.806, 48.806, -15.00, 0.00, 0.00, 0.000, 0.000
222.000, -4415.017, 0.000, 0.000, 49.247, 49.247, -15.00, 0.00, 0.00, 0.000, 0.000
223.000, -4434.873, 0.000, 0.000, 49.691, 49.691, -15.00, 0.00, 0.00, 0.000, 0.000
224.000, -4454.729, 0.000, 0.000, 50.136, 50.136, -15.00, 0.00, 0.00, 0.000, 0.000
